Date,Account,Category,Subcategory,Note,Income/Expense,Amount,Currency,Account
12/4/21 10:13,CUB - online payment,Food,,Breakfast,Expense,200,INR,200
12/3/21 21:59,CUB - online payment,Food,,Milk with bharath,Expense,25,INR,25
12/3/21 21:59,CUB - online payment,Apparel,,Belt,Expense,130,INR,130
12/3/21 21:28,CUB - online payment,Apparel,,Mask,Expense,20,INR,20
12/3/21 21:28,CUB - online payment,Food,,Snack,Expense,40,INR,40
12/3/21 21:28,CUB - online payment,Allowance,,From dad,Income,1000,INR,1000
12/2/21 20:07,CUB - online payment,Food,,Ice cream,Expense,504,INR,504
12/2/21 19:48,CUB - online payment,Food,,Vadapaav,Expense,75,INR,75
12/1/21 19:57,CUB - online payment,Beauty,,Showergel,Expense,196,INR,196
12/1/21 14:00,CUB - online payment,Food,,Lunch with company,Expense,160,INR,160
11/30/21 14:24,CUB - online payment,Gift,,Bharath birthday,Expense,115,INR,115
11/30/21 14:17,CUB - online payment,Food,,Lunch with company,Expense,128,INR,128
11/30/21 10:11,CUB - online payment,Food,,Breakfast,Expense,70,INR,70
11/29/21 20:47,CUB - online payment,Food,,Lunch with company,Expense,40,INR,40
11/29/21 20:47,CUB - online payment,Food,,Dinner,Expense,50,INR,50
11/29/21 20:09,CUB - online payment,Food,,Panipoori,Expense,40,INR,40
11/29/21 9:29,CUB - online payment,Food,,Breakfast,Expense,40,INR,40
11/28/21 19:59,CUB - online payment,Food,,Snack,Expense,94,INR,94
11/28/21 13:10,CUB - online payment,Food,,Zomato,Expense,269.4,INR,269.4
11/27/21 23:14,CUB - online payment,Food,,Dinner with gowdham,Expense,120,INR,120
11/27/21 22:34,CUB - online payment,Food,,Dinner with gowdham,Expense,130,INR,130
11/27/21 18:41,CUB - online payment,Transportation,,Rapido,Expense,35,INR,35
11/27/21 13:46,CUB - online payment,Food,,Lunch with company,Expense,75,INR,75
11/27/21 13:46,CUB - online payment,Allowance,,From dad,Income,2000,INR,2000
11/27/21 9:33,CUB - online payment,Food,,Breakfast,Expense,30,INR,30
11/26/21 21:56,CUB - online payment,Food,,Beer,Expense,150,INR,150
11/26/21 20:57,CUB - online payment,Food,,Snack,Expense,102,INR,102
11/26/21 20:15,CUB - online payment,Food,,Panipoori,Expense,40,INR,40
11/26/21 14:14,CUB - online payment,Petty cash,,Cashback,Income,3,INR,3
11/26/21 14:14,CUB - online payment,Food,,Lunch with company,Expense,150,INR,150
